dataset,variant,variant_key,poison_percent,n_clients,n_attackers,ndcg@10,ndcg@20,recall@20,precision@20,acc@10,seed,best_training.local_epochs,best_training.learning_rate,best_preference.beta_Q,best_preference.lambda_uncertainty,best_preference.kappa
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,10,30,3,0.0826827045070728,0.1228214599452305,0.1954391222909032,0.0587556654305727,0.4532344458178821,52,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,20,30,6,0.0759221951490122,0.1165456819085325,0.1897497417793682,0.057395962093119,0.4297486608982283,62,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,30,30,9,0.0782904831216708,0.119281702456053,0.1890947642532076,0.0569427276473011,0.430572723526988,72,3,0.005,0.5,0.3,1.0
Foursquare,PCTRA w/o Uncertainty Quantification,without_uncertainty,50,30,15,0.0741213458627769,0.1153118958668646,0.1856545991363432,0.0562834775442933,0.4157395962093119,92,3,0.005,0.5,0.3,1.0
Gowalla,PCTRA FULL,full,0,30,0,0.1056228857298696,0.1402989981682144,0.1810554928268747,0.0920460491889063,0.543171114599686,42,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,10,30,3,0.1080436201967678,0.141113067303932,0.1796564266818776,0.0922815279958137,0.5481423338566196,52,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,20,30,6,0.1107952956804944,0.1445637291794901,0.1849317798438811,0.0937728937728937,0.5599162742019885,62,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,30,30,9,0.1070653524448618,0.1416002278330545,0.1816412439386628,0.092647828362114,0.5559916274201988,72,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA FULL,full,50,30,15,0.1056887222698817,0.14040120922199,0.1804083105442037,0.0925693354264783,0.5470957613814756,92,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Adaptive Caps,without_adaptive_caps,0,30,0,0.105819759236225,0.1403360607064182,0.1809989991989035,0.092032967032967,0.543432757718472,42,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Adaptive Caps,without_adaptive_caps,10,30,3,0.1079873089779946,0.1409589178257979,0.179405788599287,0.09216378859236,0.5470957613814756,52,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Adaptive Caps,without_adaptive_caps,20,30,6,0.1107147522272525,0.1446145343558366,0.1850136570749708,0.0937598116169544,0.5586080586080586,62,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Adaptive Caps,without_adaptive_caps,30,30,9,0.1072723424952633,0.1415038431438736,0.1814801438386693,0.0925693354264783,0.5570381998953428,72,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Adaptive Caps,without_adaptive_caps,50,30,15,0.1057254774174901,0.1404494999440572,0.1805188711607802,0.0925039246467818,0.5470957613814756,92,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o GCN (Matrix Factorization),without_gcn,0,30,0,0.1073459597297732,0.1416768457518699,0.182209179382085,0.0940737833594976,0.5515436944008373,42,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o GCN (Matrix Factorization),without_gcn,10,30,3,0.1078672750645025,0.1412024128556439,0.1809865169734849,0.0931057038199895,0.5617477760334904,52,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o GCN (Matrix Factorization),without_gcn,20,30,6,0.1085653423473017,0.1413879241389131,0.1812468809044473,0.0929356357927786,0.5586080586080586,62,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o GCN (Matrix Factorization),without_gcn,30,30,9,0.1129133038051809,0.1441727823080485,0.1805887957811764,0.0932365253793825,0.5709052851909995,72,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o GCN (Matrix Factorization),without_gcn,50,30,15,0.107955453075985,0.1425962940434399,0.1836915324875593,0.0932888540031397,0.5586080586080586,92,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Marginal Utility,without_marginal_utility,0,30,0,0.1058898087327253,0.1405255438184625,0.1813245595353779,0.09216378859236,0.5439560439560439,42,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Marginal Utility,without_marginal_utility,10,30,3,0.1081911956247845,0.1409259625997674,0.1792633126905905,0.09216378859236,0.5484039769754055,52,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Marginal Utility,without_marginal_utility,20,30,6,0.1105891654647718,0.1445285074401975,0.1847318125868152,0.0937336473050758,0.5565149136577708,62,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Marginal Utility,without_marginal_utility,30,30,9,0.1073186149583246,0.1415620103649647,0.1815199364077308,0.0927001569858713,0.5557299843014128,72,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Marginal Utility,without_marginal_utility,50,30,15,0.1057098110321624,0.1401278050962116,0.179969821430466,0.092294610151753,0.5478806907378336,92,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,0,30,0,0.1058793710830301,0.1403769546076074,0.1810476397637796,0.0920591313448456,0.5439560439560439,42,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,10,30,3,0.1075787828527575,0.1411107305374135,0.1795679071275623,0.0921376242804814,0.543694400837258,52,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,20,30,6,0.1106778819361103,0.1447131934524721,0.1851794635662211,0.094047619047619,0.5570381998953428,62,10,0.02,1.5,0.3,2.0
Gowalla,PCTRA w/o Risk-Adjusted Aggregation,without_risk_adjustment,30,30,9,0.1078954941499326,0.1424635773412857,0.1831856750007338,0.0933281004709576,0.5593929879644165,72,10,0.02,1.5,0.3,2.0
