dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
swarm,0.5,0.5,1.0,1,0.01,0.0690051982078582,0.1000998369132017,0.0956682397215664,0.1884390136162886,0.0430883850565471,0.042321916706866,0.1788068821353915,0.3158063997427239,0.4920941201693734
swarm,0.5,0.5,1.0,1,0.02,0.0693565463755122,0.1009009197262308,0.0945017022650987,0.1879108977173808,0.0421128798842257,0.042019081309964,0.180414857694163,0.3105000803987779,0.4911293348341105
swarm,0.5,0.5,1.0,3,0.005,0.0703540727191202,0.1025407018035652,0.0965154804424548,0.1914630348183323,0.042906147826553,0.0429677868896392,0.1851851851851851,0.3128584445516428,0.4947204802487002
swarm,0.5,0.5,1.0,3,0.01,0.0696032240396876,0.1023889491920189,0.0951632294385073,0.1931874931944084,0.04243447499598,0.0427775097818513,0.1819156348823498,0.3089993032105912,0.494130889210484
swarm,0.5,0.5,1.0,3,0.02,0.0704237432942581,0.1019710005085866,0.0970841766654071,0.1912849855183828,0.04299726644155,0.042568472959211,0.1840060031087527,0.3147344160368762,0.4935948973575602
swarm,0.5,0.5,1.0,5,0.005,0.0693582190515384,0.1015185727958214,0.0947874205395628,0.1905730767304783,0.042096800128638,0.042378195851423,0.1820764324382269,0.3098568901752693,0.4945596826928231
swarm,0.5,0.5,1.0,5,0.01,0.0686743045795591,0.1011874237470432,0.0944606074163467,0.1912145054347103,0.0424398349145093,0.0426327919815618,0.1804684568794554,0.3116792624752104,0.4976148362544889
swarm,0.5,0.5,1.0,5,0.02,0.0693024502294424,0.101058520368906,0.0950116541893026,0.1893995242388636,0.0426059923889156,0.0426756713297957,0.1798788658412392,0.311625663289918,0.4940772900251916
swarm,0.5,0.5,1.0,10,0.005,0.0694112390771907,0.1002142369908179,0.0948707155449002,0.1865493175766424,0.0428043093744975,0.0422254381733397,0.183630808811706,0.3101784852870236,0.4865734040842579
swarm,0.5,0.5,1.0,10,0.01,0.0693188714278746,0.1013107091097025,0.0947445677437551,0.1912761009461227,0.042321916706866,0.0422388379696628,0.1808972503617945,0.3079273195047435,0.4910221364635257
swarm,0.5,0.5,1.0,10,0.02,0.0698522767537791,0.1016618402936901,0.0965434136137801,0.1910721111560348,0.0426863911668542,0.0425818727555341,0.1827732218470279,0.3124296510693037,0.4960068606957174
swarm,0.5,0.5,2.0,1,0.005,0.0671948519252842,0.0991838342576286,0.0929158073377157,0.1881050843389509,0.0418984831430562,0.0422951171142198,0.1748941416090475,0.3075521252076968,0.4882885780136142
swarm,0.5,0.5,2.0,1,0.01,0.0683072075831533,0.1006762361901949,0.0934078092391872,0.1899365082693491,0.0421128798842257,0.0423540762180414,0.1794500723589001,0.3113576673634561,0.4924157152811277
swarm,0.5,0.5,2.0,1,0.02,0.0707819490142213,0.1032818349518897,0.0961241269412415,0.1934084404221599,0.0433939004127137,0.0432304228975719,0.1873827517821729,0.3174143753014954,0.498472423219167
swarm,0.5,0.5,2.0,3,0.005,0.0692983952627368,0.1010529976251736,0.0954610260667888,0.1892540568089192,0.0428311089671437,0.042737310392882,0.1811652462882564,0.3129120437369352,0.4950956745457469
swarm,0.5,0.5,2.0,3,0.01,0.0686990499932165,0.1007427585189704,0.0949148426078059,0.1906285192343551,0.0421182398027549,0.0421986385806935,0.1764485179825266,0.3066945382430187,0.492737310392882
swarm,0.5,0.5,2.0,3,0.02,0.0714865715460631,0.1029744537978285,0.0984315817308963,0.1919585153803733,0.043694055850351,0.0430562255453717,0.1848099908881385,0.3232030873130728,0.5020635686337568
swarm,0.5,0.5,2.0,5,0.005,0.0690096581210631,0.1016415871152613,0.0947924482791282,0.192421817261715,0.0423379964624537,0.0426435118186203,0.1800396633971163,0.3098568901752693,0.4954172696575012
swarm,0.5,0.5,2.0,5,0.01,0.0679075900953058,0.0992578491450758,0.093066775196709,0.185905698508505,0.0417698450983545,0.0418073645280591,0.1798252666559468,0.3082489146164978,0.4851262260813636
swarm,0.5,0.5,2.0,5,0.02,0.0694286505461925,0.1018498819162946,0.095322995096462,0.1911840185456694,0.0428471887227314,0.0429731468081685,0.1839524039234603,0.3148952135927534,0.4961140590663022
swarm,0.5,0.5,2.0,10,0.005,0.0696263084368323,0.1023785916506223,0.0942168375915224,0.1922103441405761,0.043243822693895,0.0431634239159564,0.183630808811706,0.3117328616605027,0.4979364313662432
swarm,0.5,0.5,2.0,10,0.01,0.0708031959055876,0.1030260730203254,0.0971819087946176,0.1938902185968487,0.0431741437530149,0.0429195476228761,0.184327598220507,0.313448035589859,0.4971324435868575
swarm,0.5,0.5,2.0,10,0.02,0.0693325676740687,0.1015695212936217,0.0948916796488631,0.1911472623523824,0.0425845527147987,0.0427989494559682,0.1822908291793964,0.3092672991370531,0.4935948973575602
swarm,0.5,0.7,0.2,1,0.005,0.0703064584258513,0.1025037135581525,0.0962186547570462,0.1924361674373493,0.0427560701077343,0.0428177091708205,0.1843811974057994,0.3146272176662915,0.4984188240338746
swarm,0.5,0.7,0.2,1,0.01,0.0707171646102721,0.1027858518086656,0.0972723181986054,0.1924333642795738,0.0433027817977166,0.0430053063193439,0.1854531811116471,0.316235193225063,0.4967036501045184
swarm,0.5,0.7,0.2,1,0.02,0.0702113539245673,0.1015009774830792,0.0962868244730544,0.1896235922853792,0.0426488717371495,0.0423031569920137,0.1812188454735488,0.3136088331457362,0.4919333226134962
