combo_id,dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
431,gowalla,1.5,0.3,2.0,10,0.02,0.1109948462774793,0.1463628896508149,0.0934776447255155,0.1878149724754105,0.0945839874411303,0.0956567242281528,0.3757195185766614,0.564625850340136,0.783097854526426
27,foursquare,0.5,0.3,1.0,3,0.005,0.0849136784242102,0.1244088747273469,0.1008933227946652,0.1936991637183137,0.0605686032138442,0.0585908529048207,0.2657601977750309,0.4664194478780387,0.6975690152451587
506,swarm,1.5,0.7,1.0,1,0.02,0.0712512371338868,0.1048143079103111,0.0988870046425655,0.1980561539610713,0.042793589537439,0.0434635793535938,0.1815940397705955,0.3144128209251219,0.5044219327866216
