dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Gowalla,0.5,0.3,0.5,10,0.01,0.10600590931291082,0.14093885215346233,0.09050175652112841,0.18330760148954678,0.09191522762951336,0.09279173207744636,0.3540031397174254,0.5536368393511251,0.7728937728937729
Gowalla,0.5,0.3,0.5,10,0.02,0.1092573536739985,0.14326924412960487,0.09136995633930992,0.18405942060948655,0.09432234432234433,0.09345892203035061,0.36813186813186816,0.5617477760334904,0.7757718472004186
Gowalla,0.5,0.3,1.0,1,0.005,0.10721367850577147,0.1397213255684818,0.08995912531908748,0.17837005748779386,0.09327577184720041,0.09204604918890635,0.35714285714285715,0.5607012035583464,0.771585557299843
Gowalla,0.5,0.3,1.0,1,0.01,0.10710770100515767,0.1415287460715361,0.09278534103588935,0.18388233318616498,0.09267399267399268,0.09279173207744637,0.3568812140240712,0.5630559916274201,0.7762951334379906
Gowalla,0.5,0.3,1.0,1,0.02,0.10716341718741353,0.14062365241719235,0.08974252114993819,0.1795578459089339,0.09186289900575616,0.09186289900575616,0.3534798534798535,0.5481423338566196,0.7637362637362637
Gowalla,0.5,0.3,1.0,3,0.005,0.11057910280985418,0.14360386382067264,0.09282673044929748,0.181840275390842,0.09335426478283622,0.09224228152799584,0.37545787545787546,0.5688121402407117,0.7757718472004186
Gowalla,0.5,0.3,1.0,3,0.01,0.10860508068714245,0.14398181088315878,0.09174491184772274,0.18648111216116767,0.09327577184720041,0.09447933019361592,0.35060177917320773,0.5512820512820513,0.7687074829931972
Gowalla,0.5,0.3,1.0,3,0.02,0.10311993511051408,0.13610374237920608,0.08771690808674507,0.1756855360914436,0.09021454735740451,0.09082940868655155,0.34510727367870225,0.5455259026687598,0.7637362637362637
Gowalla,0.5,0.3,1.0,5,0.005,0.1083565895293965,0.14106040292610042,0.08969356946919685,0.1795160592634698,0.09335426478283623,0.09300104657247515,0.3574045002616431,0.5575614861329147,0.7668759811616954
Gowalla,0.5,0.3,1.0,5,0.01,0.10331928286936706,0.13820117332230225,0.08844297624875028,0.180051598988652,0.09045002616431189,0.09259549973835689,0.35243328100470955,0.5499738356881214,0.7794348508634223
Gowalla,0.5,0.3,1.0,5,0.02,0.11061544757197767,0.14487039771854232,0.09422660810086178,0.18663335117943877,0.09374672946101517,0.09338042909471482,0.36813186813186816,0.5667189952904239,0.7804814233385662
Gowalla,0.5,0.3,1.0,10,0.005,0.10654174594713008,0.1400406402887239,0.08991466680983586,0.179456631123092,0.09285714285714285,0.09298796441653584,0.3532182103610675,0.5478806907378336,0.7671376242804814
Gowalla,0.5,0.3,1.0,10,0.01,0.10595517840601905,0.14037892915084285,0.09093703585549333,0.1824376083222253,0.0923076923076923,0.09300104657247515,0.34379905808477235,0.5502354788069074,0.7731554160125589
Gowalla,0.5,0.3,1.0,10,0.02,0.10624474675404395,0.14026546594151348,0.09041319663584077,0.18174556069982106,0.09209837781266353,0.09236002093144952,0.358451072736787,0.5476190476190477,0.7639979068550498
Gowalla,0.5,0.3,2.0,1,0.005,0.10834321073257012,0.1410417860185254,0.0920212148842587,0.18126401909051895,0.09447933019361592,0.0925039246467818,0.36446886446886445,0.5591313448456305,0.7760334903192047
Gowalla,0.5,0.3,2.0,1,0.01,0.1084817750769977,0.14262653102961795,0.09057875964282447,0.1832285957663043,0.09424385138670853,0.09429618001046573,0.36002093144950287,0.5554683411826269,0.7755102040816326
Gowalla,0.5,0.3,2.0,1,0.02,0.10659133297410288,0.14031910496480193,0.08990886661911214,0.1795112769536154,0.09256933542647827,0.09288330716902145,0.36682365253793825,0.5554683411826269,0.7694924123495552
Gowalla,0.5,0.3,2.0,3,0.005,0.11031524744559983,0.14244157852009245,0.09395725925523087,0.18215809095790902,0.09513343799058085,0.09317111459968604,0.35583464154892724,0.5714285714285714,0.7773417059131345
Gowalla,0.5,0.3,2.0,3,0.01,0.10996351172377264,0.14359318981691424,0.09382693232926093,0.1844955771114184,0.09361590790162219,0.09264782836211408,0.369440083725798,0.5633176347462062,0.7713239141810571
Gowalla,0.5,0.3,2.0,3,0.02,0.10905327610561745,0.14439880870589866,0.09397510619527986,0.1875952320452161,0.09340659340659341,0.09375981161695449,0.3574045002616431,0.5714285714285714,0.7888540031397174
Gowalla,0.5,0.3,2.0,5,0.005,0.108561468018768,0.14166588165281904,0.09117819009798431,0.1804035949150896,0.09319727891156462,0.09224228152799582,0.35609628466771326,0.5580847723704867,0.7697540554683412
Gowalla,0.5,0.3,2.0,5,0.01,0.1078108252164284,0.14177915224222312,0.09159971253326368,0.18205774917719672,0.09340659340659341,0.09321036106750392,0.35923600209314493,0.5607012035583464,0.7794348508634223
Gowalla,0.5,0.3,2.0,5,0.02,0.1073305186085725,0.14175377339507786,0.09095218461662367,0.18185437765828008,0.09290947148090006,0.0934720041862899,0.35818942961800104,0.5533751962323391,0.7708006279434851
Gowalla,0.5,0.3,2.0,10,0.005,0.10489242384146848,0.1389826031669495,0.0897709373141466,0.18006382571396995,0.09120879120879122,0.09169283097854528,0.3545264259549974,0.5512820512820513,0.7687074829931972
Gowalla,0.5,0.3,2.0,10,0.01,0.10554796745627425,0.13945731456839658,0.087096081426707,0.17878231516073098,0.09141810570381999,0.09279173207744637,0.35138670852956566,0.542386185243328,0.7728937728937729
Gowalla,0.5,0.3,2.0,10,0.02,0.10790026115456522,0.1418509281318371,0.09193894893209291,0.18362197719533255,0.09539508110936683,0.09450549450549452,0.358974358974359,0.5609628466771324,0.7791732077446363
Gowalla,0.5,0.5,0.2,1,0.005,0.10533341121298577,0.1410555014151494,0.09073697413056683,0.18354151061131985,0.09136577708006278,0.09323652537938253,0.3511250654107797,0.554683411826269,0.7697540554683412
Gowalla,0.5,0.5,0.2,1,0.01,0.10867385456353396,0.14271792971434424,0.09165505240975746,0.18430592878959726,0.09484563055991628,0.09413919413919414,0.3636839351125065,0.5604395604395604,0.7762951334379906
Gowalla,0.5,0.5,0.2,1,0.02,0.10949511871540961,0.1443709093876024,0.09088242316049194,0.1837174187992016,0.0933804290947148,0.09429618001046572,0.3579277864992151,0.5570381998953428,0.7857142857142857
Gowalla,0.5,0.5,0.2,3,0.005,0.10617781034140494,0.1402076542873846,0.09074126717980778,0.18190390938493026,0.0924646781789639,0.09289638932496076,0.3458922030350602,0.5528519099947672,0.7702773417059131
Gowalla,0.5,0.5,0.2,3,0.01,0.1109595133067883,0.14411407330737855,0.09354143574817504,0.18384873211659353,0.09557823129251701,0.09423076923076924,0.37127158555729983,0.5622710622710623,0.7700156985871272
Gowalla,0.5,0.5,0.2,3,0.02,0.10945420735405903,0.14197987797155034,0.09246853210852025,0.18186600925319696,0.09450549450549452,0.09285714285714287,0.3631606488749346,0.5625327053898482,0.7794348508634223
Gowalla,0.5,0.5,0.2,5,0.005,0.10752676674811046,0.14213743153913982,0.09148525781138951,0.18337353662991618,0.09280481423338567,0.09297488226059655,0.3613291470434328,0.5591313448456305,0.7789115646258503
Gowalla,0.5,0.5,0.2,5,0.01,0.10574554503844505,0.1396077827943824,0.08931723507112493,0.1811705293208864,0.09233385661957091,0.09222919937205651,0.3464154892726321,0.5497121925693355,0.7681841967556253
Gowalla,0.5,0.5,0.2,5,0.02,0.10508277300836869,0.13977545456264664,0.0888885802833338,0.1813806680321187,0.0912611198325484,0.09209837781266354,0.3529565672422815,0.5499738356881214,0.7804814233385662
