dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Foursquare,0.5,0.3,0.5,3,0.005,0.07566121575746557,0.1162137197819662,0.09225977062810096,0.1879790226803857,0.05529460238978162,0.05671611042439226,0.25092707045735474,0.43057272352698805,0.6889163576431809
Foursquare,0.5,0.3,0.5,3,0.01,0.07875673859894874,0.1179085514180844,0.09413263227888681,0.1870907206583375,0.057148743304491136,0.0565306963329213,0.2595797280593325,0.43716522455706636,0.6831479192418624
Foursquare,0.5,0.3,0.5,3,0.02,0.07901830054396544,0.11763016381650038,0.09545518228151399,0.1867329966303102,0.057354758961681095,0.05630407911001236,0.2521631644004944,0.44087350638648537,0.6835599505562423
Foursquare,0.5,0.3,0.5,5,0.005,0.07628843818537064,0.11735083520080661,0.09291281457716902,0.1883195907790826,0.056283477544293366,0.057540173053152045,0.2546353522867738,0.4289245982694685,0.6802637000412032
Foursquare,0.5,0.3,0.5,5,0.01,0.08151966290821905,0.12121275895872773,0.09974355338483507,0.19263451140275684,0.058879274824886696,0.05826122785331685,0.24927894519983518,0.45323444581788214,0.6942727647301195
Foursquare,0.5,0.3,0.5,5,0.02,0.08017260722231456,0.12165325492090452,0.09434658756827659,0.19170997960971,0.05710754017305316,0.05819942315615987,0.25710754017305315,0.44169756901524515,0.6905644829007005
Foursquare,0.5,0.3,0.5,10,0.005,0.07605550477322269,0.11575534458397581,0.09214126912690898,0.18711609505607824,0.05677791512154924,0.0569015245158632,0.25133910177173463,0.4297486608982283,0.6794396374124434
Foursquare,0.5,0.3,0.5,10,0.01,0.07355146494340892,0.11344341425970796,0.09038022932921143,0.18487180931250827,0.05434693036670786,0.05543881334981458,0.2373300370828183,0.43098475484136795,0.6831479192418624
Foursquare,0.5,0.3,0.5,10,0.02,0.07598936377851434,0.11697287363000206,0.09043523280852014,0.187045476546899,0.05554182117840955,0.057210548001648126,0.23897816234033786,0.4318088174701277,0.6852080758137619
Foursquare,0.5,0.3,1.0,1,0.005,0.07867842090047747,0.11681777724181172,0.09516678806945925,0.18577814277876498,0.05805521219612691,0.056407086938607326,0.2599917593737124,0.4388133498145859,0.6782035434693037
Foursquare,0.5,0.3,1.0,1,0.01,0.07632236596081071,0.11707552812567812,0.09382208938433007,0.189157658662347,0.056571899464359296,0.05729295426452411,0.25010300782859496,0.43798928718582614,0.6872682323856613
Foursquare,0.5,0.3,1.0,1,0.02,0.08002648514059696,0.12254970986035682,0.0954803285067494,0.19601470991685668,0.057890399670374945,0.05904408735063865,0.26287597857437167,0.44252163164400493,0.7016893283889576
Foursquare,0.5,0.3,1.0,3,0.005,0.08491367842421026,0.12440887472734691,0.10089332279466526,0.1936991637183137,0.06056860321384425,0.05859085290482077,0.2657601977750309,0.46641944787803874,0.6975690152451587
Foursquare,0.5,0.3,1.0,3,0.01,0.0835707694023338,0.1234585942136861,0.09953935893481128,0.19285086333339255,0.060238978162340334,0.059064688916357654,0.27564894932014833,0.4581788215904409,0.696332921302019
Foursquare,0.5,0.3,1.0,3,0.02,0.07713866225237967,0.11719890401619497,0.09355134497380004,0.18736504777612484,0.05648949320148331,0.057025133910177175,0.2484548825710754,0.44128553770086526,0.6798516687268232
Foursquare,0.5,0.3,1.0,5,0.005,0.07830600513652487,0.11950395824594895,0.09514865185069489,0.19345673398099544,0.057066337041615164,0.05786979810465595,0.2599917593737124,0.4445817882159044,0.6905644829007005
Foursquare,0.5,0.3,1.0,5,0.01,0.08079108961619376,0.11880926695959758,0.09707912875582818,0.1864592205182072,0.05908529048207664,0.057498969921714056,0.2546353522867738,0.44087350638648537,0.6823238566131026
Foursquare,0.5,0.3,1.0,5,0.02,0.07510690904161532,0.1156105492299465,0.09206332784568651,0.18758248101671085,0.05603625875566543,0.05712814173877215,0.24145035022661723,0.4252163164400494,0.6782035434693037
Foursquare,0.5,0.3,1.0,10,0.005,0.07682799349719052,0.11704358341977947,0.09225791752765758,0.18649111852234013,0.05669550885867327,0.05712814173877216,0.2488669138854553,0.4359291306139267,0.6798516687268232
Foursquare,0.5,0.3,1.0,10,0.01,0.07933410809329651,0.11960265403377388,0.09540517650821148,0.19026096565364195,0.058755665430572736,0.05834363411619284,0.2624639472599918,0.4437577255871446,0.6814997939843428
Foursquare,0.5,0.3,1.0,10,0.02,0.07693925250891626,0.11587777576425548,0.09433806724773212,0.18605361800507683,0.05743716522455708,0.05675731355583024,0.2426864441697569,0.45323444581788214,0.6802637000412032
Foursquare,0.5,0.3,2.0,1,0.005,0.08046350515775882,0.1204478796736481,0.09526083317478419,0.18966938404902442,0.05760197775030903,0.05716934487021014,0.26782035434693036,0.4445817882159044,0.6872682323856613
Foursquare,0.5,0.3,2.0,1,0.01,0.08072562357047863,0.1187811623577787,0.09625101995287866,0.18544170340236485,0.05854964977338278,0.05683971981870622,0.2702925422332097,0.44870210135970334,0.680675731355583
Foursquare,0.5,0.3,2.0,1,0.02,0.08321011550362738,0.12153451706243557,0.0998926305702019,0.19044494246389243,0.060527400082406264,0.05811701689328389,0.2649361351462711,0.46312319736299956,0.6909765142150803
Foursquare,0.5,0.3,2.0,3,0.005,0.08045677800112942,0.12170586320875257,0.09584861808679294,0.19299879842978532,0.05735475896168108,0.05811701689328389,0.25793160280181293,0.4454058508446642,0.7008652657601978
Foursquare,0.5,0.3,2.0,3,0.01,0.07882725260579766,0.11785690456818146,0.09560541629351468,0.18716731420424096,0.05776679027606098,0.05675731355583024,0.2546353522867738,0.4404614750721055,0.6782035434693037
Foursquare,0.5,0.3,2.0,3,0.02,0.07502669073106753,0.11490203745395625,0.09378521767761867,0.18739839954692572,0.057148743304491136,0.05737536052740008,0.24639472599917595,0.43798928718582614,0.6687268232385661
Foursquare,0.5,0.3,2.0,5,0.005,0.07677659844729808,0.11522204119938878,0.0927461207166459,0.18387247423113837,0.05558302430984754,0.055170992995467655,0.22826534816646066,0.4223320972393902,0.6658426040379068
Foursquare,0.5,0.3,2.0,5,0.01,0.07670934837794545,0.11575577170974237,0.09242828578890502,0.18497631816121773,0.056613102595797285,0.056571899464359296,0.24351050679851668,0.4289245982694685,0.6707869798104656
Foursquare,0.5,0.3,2.0,5,0.02,0.07558757576581938,0.11523539453428489,0.09154855524428145,0.18538247211061776,0.05574783683559951,0.0561804697156984,0.2369180057684384,0.4256283477544293,0.6687268232385661
Foursquare,0.5,0.3,2.0,10,0.005,0.07864423188741869,0.11800617756590431,0.09337225067948239,0.18777999663039696,0.057643180881747004,0.057066337041615164,0.2521631644004944,0.4392253811289658,0.6790276060980635
Foursquare,0.5,0.3,2.0,10,0.01,0.08049666308130105,0.11967421750545089,0.09797164619586417,0.19038192400774465,0.05867325916769674,0.05708693860733416,0.26411207251751134,0.4515863205603626,0.6876802637000412
Foursquare,0.5,0.3,2.0,10,0.02,0.07636193756729875,0.11601800693757056,0.09322643721270595,0.18683826979621732,0.056159868149979406,0.056221672847136375,0.23073753605274,0.43139678615574784,0.6790276060980635
Foursquare,0.5,0.5,0.2,1,0.005,0.078463499380042,0.1166758389786161,0.09457064892244543,0.18492032587234367,0.057025133910177175,0.056159868149979406,0.2620519159456119,0.446229913473424,0.6802637000412032
Foursquare,0.5,0.5,0.2,1,0.01,0.07803463306664443,0.11674733578881079,0.09382283538605399,0.1843906459618402,0.05636588380716935,0.056159868149979406,0.24721878862793573,0.4334569427276473,0.6683147919241862
Foursquare,0.5,0.5,0.2,1,0.02,0.07952889791958985,0.12019042765721229,0.09723134589237792,0.1936243577227615,0.05813761845900289,0.05813761845900288,0.25298722702925425,0.4495261639884631,0.6893283889575608
Foursquare,0.5,0.5,0.2,3,0.005,0.0803216115853263,0.120447238216732,0.0983290152473079,0.1941448130865745,0.05904408735063865,0.05778739184177997,0.26081582200247216,0.4565306963329213,0.6979810465595385
Foursquare,0.5,0.5,0.2,3,0.01,0.0760291814288529,0.11632932205382734,0.09135967158722945,0.1860784706132449,0.05603625875566543,0.056819118252987244,0.24186238154099712,0.42398022249690975,0.6613102595797281
Foursquare,0.5,0.5,0.2,3,0.02,0.07606991786000056,0.1158978665297885,0.09295881511400622,0.1865983434060759,0.05607746188710342,0.0565306963329213,0.25051503914297485,0.43428100535640707,0.6790276060980635
Foursquare,0.5,0.5,0.2,5,0.005,0.08142711241312851,0.12011234217657102,0.09810499081720567,0.19038100752438594,0.06056860321384425,0.057725587144623,0.26122785331685205,0.4511742892459827,0.680675731355583
